t	F1	F2	F3	F4	F5	dF1	dF2	dF3	dF4	dF5
 0.00000000000000000000E+0000  2.92226002857307480542E+0002  2.92226002857307480542E+0002  2.92226002857307480542E+0002  2.92226002857307480542E+0002  2.92226002857307480542E+0002  7.32459365200289034890E-0005  7.32459365200289034890E-0005  7.32459365200289034890E-0005  7.32596484631780367310E-0005  7.31773768043148766331E-0005
 2.73972602739726027401E-0002  3.18353067238103679792E+0002  3.18353067238103679792E+0002  3.18353067238103679792E+0002  2.12825827195456268107E+0002  1.98262350936658074435E+0002  7.32354638220372054175E-0005  7.32354638220372054175E-0005  7.32354638220372054175E-0005  7.32491734777859808894E-0005  7.31669155463563321266E-0005
 5.47945205479452054803E-0002  3.44374004012077044035E+0002  3.44374004012077044035E+0002  3.44374004012077044035E+0002  2.43224985306568341994E+0002  1.96111549296310202245E+0002  7.32247627225193988249E-0005  7.32247627225193988249E-0005  7.32247627225193988249E-0005  7.32384700405086850960E-0005  7.31562261429266794650E-0005
 8.21917808219178082170E-0002  1.04419589412591068854E+0001  1.04419589412591068854E+0001  1.04419589412591068854E+0001  2.75509645753235795862E+0002  1.91877430191345729860E+0002  7.32196715795565686573E-0005  7.32196715795565686573E-0005  7.32196715795565686573E-0005  7.32333777850515253650E-0005  7.31511405680934549879E-0005
 1.09589041095890410961E-0001  3.67845377408219267219E+0001  3.67845377408219267219E+0001  3.67845377408219267219E+0001  3.02305554434459352098E+0002  2.06302033131606673694E+0002  7.32241655937275276843E-0005  7.32241655937275276843E-0005  7.32241655937275276843E-0005  7.32378727795307266775E-0005  7.31556296859464108749E-0005
 1.36986301369863013697E-0001  6.32707807908824633944E+0001  6.32707807908824633944E+0001  6.32707807908824633944E+0001  3.29129227525002279658E+0002  2.21601578163584113979E+0002  7.32393480602308668616E-0005  7.32393480602308668616E-0005  7.32393480602308668616E-0005  7.32530585594150056224E-0005  7.31707955957783218743E-0005
 1.64383561643835616434E-0001  9.01183002910556936807E+0001  9.01183002910556936807E+0001  9.01183002910556936807E+0001  1.56783326198976296674E+0000  2.21659177517811586192E+0002  7.32574620198455209018E-0005  7.32574620198455209018E-0005  7.32574620198455209018E-0005  7.32711764723076160979E-0005  7.31888898040028654480E-0005
 1.91780821917808219184E-0001  1.17455179332220068393E+0002  1.17455179332220068393E+0002  1.17455179332220068393E+0002  3.30969328104208872256E+0001  2.26409812030809895048E+0002  7.32748288927634498829E-0005  7.32748288927634498829E-0005  7.32748288927634498829E-0005  7.32885471363140695386E-0005  7.32062377343886566112E-0005
 2.19178082191780821921E-0001  1.45009259617301295417E+0002  1.45009259617301295417E+0002  1.45009259617301295417E+0002  6.05491218080667726251E+0001  2.44349726041915501357E+0002  7.32831500851698355193E-0005  7.32831500851698355193E-0005  7.32831500851698355193E-0005  7.32968701433758225022E-0005  7.32145498718703392435E-0005
 2.46575342465753424658E-0001  1.72823428889971449626E+0002  1.72823428889971449626E+0002  1.72823428889971449626E+0002  8.98274406773332935727E+0001  2.57629470189765143628E+0002  7.32863748852630303589E-0005  7.32863748852630303589E-0005  7.32863748852630303589E-0005  7.33000956415480014609E-0005  7.32177712199726556996E-0005
