t	F1	F2	F3	F4	F5	dF1	dF2	dF3	dF4	dF5
 0.00000000000000000000E+0000  2.36199562422915099888E+0002  2.36199562422915099888E+0002  2.36199562422915099888E+0002  2.36199562422915099888E+0002  2.36199562422915099888E+0002  7.34450388551090266277E-0005  7.34450388551090266277E-0005  7.34450388551090266277E-0005  7.34587507982581598697E-0005  7.33764791393949997719E-0005
 2.73972602739726027401E-0002  2.72100349513235706400E+0002  2.72100349513235706400E+0002  2.72100349513235706400E+0002  1.66573109470588294700E+0002  1.52009633211790101029E+0002  7.34345661571474502324E-0005  7.34345661571474502324E-0005  7.34345661571474502324E-0005  7.34482758128962257043E-0005  7.33660178814665769414E-0005
 5.47945205479452054803E-0002  3.08009781422953176244E+0002  3.08009781422953176244E+0002  3.08009781422953176244E+0002  2.06860762717444474204E+0002  1.59747326707186334468E+0002  7.34238650576603859197E-0005  7.34238650576603859197E-0005  7.34238650576603859197E-0005  7.34375723756496721908E-0005  7.33553284780676665598E-0005
 8.21917808219178082170E-0002  3.43980251433141810347E+0002  3.43980251433141810347E+0002  3.43980251433141810347E+0002  2.49047932104180439403E+0002  1.65415716542290373414E+0002  7.34187739147121615713E-0005  7.34187739147121615713E-0005  7.34187739147121615713E-0005  7.34324801202071182790E-0005  7.33502429032490479020E-0005
 1.09589041095890410961E-0001  2.00981183741987461718E+0001  2.00981183741987461718E+0001  2.00981183741987461718E+0001  2.85619135067836171560E+0002  1.89615613764983493142E+0002  7.34232679288701230234E-0005  7.34232679288701230234E-0005  7.34232679288701230234E-0005  7.34369751146733220166E-0005  7.33547320210890062139E-0005
 1.36986301369863013697E-0001  5.64778212130736908432E+0001  5.64778212130736908432E+0001  5.64778212130736908432E+0001  3.22336267947193507111E+0002  2.14808618585775341431E+0002  7.34384503953296364049E-0005  7.34384503953296364049E-0005  7.34384503953296364049E-0005  7.34521608945137751657E-0005  7.33698979308770914177E-0005
 1.64383561643835616434E-0001  9.32206828209912364558E+0001  9.32206828209912364558E+0001  9.32206828209912364558E+0001  4.67021579192530573695E+0000  2.24761560047747128960E+0002  7.34565643548919919244E-0005  7.34565643548919919244E-0005  7.34565643548919919244E-0005  7.34702788073540871205E-0005  7.33879921390493364707E-0005
 1.91780821917808219184E-0001  1.30336168698965108120E+0002  1.30336168698965108120E+0002  1.30336168698965108120E+0002  4.59779221771659269494E+0001  2.39290801397554934768E+0002  7.34739312277598127525E-0005  7.34739312277598127525E-0005  7.34739312277598127525E-0005  7.34876494713104324082E-0005  7.34053400693850194808E-0005
 2.19178082191780821921E-0001  1.67789792899395133821E+0002  1.67789792899395133821E+0002  1.67789792899395133821E+0002  8.33296550901606110223E+0001  2.67130259324009339761E+0002  7.34822524201420713039E-0005  7.34822524201420713039E-0005  7.34822524201420713039E-0005  7.34959724783480582868E-0005  7.34136522068425750281E-0005
 2.46575342465753424658E-0001  2.05490361746090441364E+0002  2.05490361746090441364E+0002  2.05490361746090441364E+0002  1.22494373533452285310E+0002  2.90296403045884135352E+0002  7.34854772202255967926E-0005  7.34854772202255967926E-0005  7.34854772202255967926E-0005  7.34991979765105678946E-0005  7.34168735549352221333E-0005
 2.73972602739726027395E-0001  2.43243765498880666995E+0002  2.43243765498880666995E+0002  2.43243765498880666995E+0002  1.64418259284978842572E+0002  3.05250199553937736435E+0002  7.34758144278232307861E-0005  7.34758144278232307861E-0005  7.34758144278232307861E-0005  7.34895330646448131810E-0005  7.34072214117283237593E-0005
 3.01369863013698630131E-0001  2.80966304404542666612E+0002  2.80966304404542666612E+0002  2.80966304404542666612E+0002  2.04088562975230545918E+0002  3.27092996712376184038E+0002  7.34677799901246252738E-0005  7.34677799901246252738E-0005  7.34677799901246252738E-0005  7.34814968617142897200E-0005  7.33991958618087132436E-0005
 3.28767123287671232868E-0001  3.18677067225288107533E+0002  3.18677067225288107533E+0002  3.18677067225288107533E+0002  2.41432707375878063183E+0002  3.55911099615676846969E+0002  7.34581534893047142981E-0005  7.34581534893047142981E-0005  7.34581534893047142981E-0005  7.34718682430032862105E-0005  7.33895800425242407321E-0005
 3.56164383561643835605E-0001  3.56404603560769513676E+0002  3.56404603560769513676E+0002  3.56404603560769513676E+0002  2.78733091166957897500E+0002  2.50319811706936214482E+0001  7.34592862523396852195E-0005  7.34592862523396852195E-0005  7.34592862523396852195E-0005  7.34730012317892092217E-0005  7.33907118068182731227E-0005
